,id,fk_plan
818,2687,60
819,2688,60
820,2689,60
821,2690,60
822,2706,60
823,2707,60
824,2708,60
825,2709,60
826,2715,61
827,2716,61
828,2717,61
829,2718,61
830,2719,61
831,2721,61
832,2722,61
833,2723,61
834,2728,61
835,2729,61
836,2730,61
837,2731,61
838,2744,61
839,2745,61
840,2746,61
841,2747,61
842,2796,62
843,2797,62
844,2798,62
845,2799,62
846,2800,62
847,2801,62
848,2802,62
849,2803,62
850,2804,62
851,2810,62
852,2811,62
853,2812,62
854,2813,62
855,2814,62
856,2815,62
857,2831,62
858,2832,62
859,2833,62
860,2834,62
861,2840,62
862,2841,62
863,2842,62
864,2843,62
865,2844,62
866,2845,62
867,2846,62
868,2847,62
869,2848,62
870,2854,62
871,2855,62
872,2856,62
873,2857,62
874,2858,62
875,2859,62
876,2875,62
877,2876,62
878,2877,62
879,2878,62
880,2884,62
881,2885,62
882,2894,62
883,2895,62
884,2896,62
885,2897,62
886,2946,63
887,2947,63
888,2948,63
889,2949,63
890,2950,63
891,2951,63
892,2952,63
893,2953,63
894,2958,63
895,2959,63
896,2960,63
897,2961,63
898,2974,63
899,2975,63
900,2976,63
901,2977,63
902,2982,63
903,2983,63
904,2984,63
905,2985,63
906,2986,63
907,2987,63
908,2988,63
909,2989,63
910,2994,63
911,2995,63
912,2996,63
913,2997,63
914,3010,63
915,3011,63
916,3012,63
917,3013,63
918,3018,63
919,3020,63
920,3021,63
921,3026,63
922,3028,63
923,3029,63
924,3034,63
925,3036,63
926,3037,63
927,3042,63
928,3044,63
929,3045,63
930,3390,64
931,3391,64
